uuid,source_dir,numeric_subdir,index,visual_glb,image_file
f7264e47-8452-4ae7-a0c4-dd4e509d1b32,009_kettle,102730,0,base0.glb,base0.jpg
aaad4924-3506-4f62-8c9c-9c195e354fad,009_kettle,102738,1,base1.glb,base1.jpg
03f1b9b7-ed45-4a7d-b4f3-92a25c0627ea,009_kettle,102739,2,base2.glb,base2.jpg
065acb2c-0536-4dc4-b1f5-c6b4d5b92bf6,010_pen,101685,0,,
fe6e73ef-3829-4202-b0e1-8ea5d34c64a3,010_pen,101727,1,,
be166c82-5844-461f-bba8-c9f976857f83,010_pen,101732,2,,
f795c101-575d-4493-8386-d77de8625869,010_pen,101736,3,,
87cb41ce-f196-44f8-8211-f3ed8fdee406,010_pen,101748,4,,
765b7940-82e3-47a5-b500-29a285325347,010_pen,101786,5,,
103bc993-6aec-4960-bdb8-354b0efb2e52,010_pen,101787,6,,
95829804-5334-4e5e-8b92-6751f0e77e25,015_laptop,9748,0,base0.glb,base0.jpg
7165de2f-ef71-48bb-ba49-222deb20a1ab,015_laptop,9912,1,base1.glb,base1.jpg
a9ee903c-59c9-4bd4-b073-2e10ea3af1b7,015_laptop,9960,2,base2.glb,base2.jpg
d5471cf4-9b47-4c39-a391-7e874369bf2a,015_laptop,9968,3,base3.glb,base3.jpg
b1da6739-f5dc-41f5-abc5-b2b3146f8a75,015_laptop,9992,4,base4.glb,base4.jpg
2877dfb4-bace-43eb-848a-7da3a523ec79,015_laptop,9996,5,base5.glb,base5.jpg
66a941d7-5a9a-4771-ab30-a94c97fd1989,015_laptop,10040,6,base6.glb,base6.jpg
a28c5dec-e109-4a6d-88c1-7b351ec3fb0c,015_laptop,10098,7,base7.glb,base7.jpg
c5469a45-8e48-4538-8f7a-818c8a4814f5,015_laptop,10101,8,base8.glb,base8.jpg
32e29630-400a-4138-91c5-f954838e359f,015_laptop,10125,9,base9.glb,base9.jpg
3bf8fef1-221d-40b1-b29d-5913805702c3,015_laptop,10211,10,base10.glb,base10.jpg
f2af8dac-79fc-42a3-9934-7f1307706803,016_oven,7179,0,,
5eb5d0c5-7630-4037-8d55-561b242b470f,016_oven,7201,1,,
9aff25a6-40c5-4703-a3e6-3dadaea88bb6,016_oven,7332,2,,
763e4295-62ef-4625-8a3d-a30ba590831e,016_oven,7347,3,,
d8fd7cf0-400e-407f-9799-68592de85db3,036_cabinet,46653,0,base0.glb,base0.jpg
89b68efa-1e44-47c4-b1c0-f5fb00e89025,037_box,426,0,base0.glb,base0.jpg
34effecf-ca63-461d-a301-adbe61e40670,044_microwave,7167,0,base0.glb,base0.jpg
f98dba85-7b17-4c1e-b748-467c406b0297,044_microwave,7310,1,base1.glb,base1.jpg
5b410724-a0c2-4650-871e-5ada96bc4e9d,056_switch,100880,0,base0.glb,base0.jpg
62b9f593-42ad-4fa2-b802-01bd342d0c7d,056_switch,100901,1,base1.glb,base1.jpg
bab52fe6-c663-4931-ba05-2797c95d9141,056_switch,100905,2,base2.glb,base2.jpg
38b9ec18-429f-44e5-8df2-c19a6df4c434,056_switch,100906,3,base3.glb,base3.jpg
31935d05-226f-4c00-954d-39a0ab985ba9,056_switch,100907,4,base4.glb,base4.jpg
0600b16e-6fea-4cf8-be92-1c134834b104,056_switch,100914,5,base5.glb,base5.jpg
6603c452-2199-41a7-9656-c34ed8f7029c,056_switch,100933,6,base6.glb,base6.jpg
37083b46-f539-4855-ade8-88ad79a379dd,056_switch,100937,7,base7.glb,base7.jpg
4c92bc86-a4f8-4c50-943e-8ffa08781b96,060_kitchenpot,100015,0,base0.glb,base0.jpg
f64c272c-d78c-4f01-bb76-12a140f59f5d,060_kitchenpot,100023,1,base1.glb,base1.jpg
bab81def-9f13-499d-9591-8b5b919f8d61,060_kitchenpot,100038,2,base2.glb,base2.jpg
229a36c3-1383-432c-be26-7db815204c89,060_kitchenpot,100051,3,base3.glb,base3.jpg
4ab75117-d17d-4f4b-9679-96950e42dd8d,060_kitchenpot,100057,4,base4.glb,base4.jpg
10d10bfd-3e28-4b04-84a8-878cce51acb6,060_kitchenpot,100058,5,base5.glb,base5.jpg
e5657980-0387-4a0d-9a12-619eed91217d,060_kitchenpot,100060,6,base6.glb,base6.jpg
